File: 'prog_2018_05_07 - kim.xml' Error: Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 1:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 2:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 3:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 4:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 5:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 6:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 7:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 8:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 9:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 10:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 11:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 12:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 13:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 14:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 15:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 16:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 17:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 18:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 19:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 20:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 21:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 22:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 23:00:00 already exists in database.
Data with GeoAreaId: 'KIM', Timestamp: 04.06.2018. 0:00:00 already exists in database.
